Code          Nom          Action   
0          Socrates            mange
0          Socrates            pense
4          Aristotle           mange
1          Epicurus            mange
1          Epicurus            pense
2          Pythagoras          mange
4          Aristotle           pense
2          Pythagoras          pense
3          Plato               mange
3          Plato               pense
0          Socrates            mange
3          Plato               mange
0          Socrates            pense
1          Epicurus            mange
1          Epicurus            pense
3          Plato               pense
2          Pythagoras          mange
4          Aristotle           mange
2          Pythagoras          pense
4          Aristotle           pense
1          Epicurus            mange
3          Plato               mange
3          Plato               pense
4          Aristotle           mange
4          Aristotle           pense
1          Epicurus            pense
0          Socrates            mange
2          Pythagoras          mange
0          Socrates            pense
2          Pythagoras          pense
3          Plato               mange
0          Socrates            mange
0          Socrates            pense
1          Epicurus            mange
1          Epicurus            pense
1          Epicurus            mange
1          Epicurus            pense
0          Socrates            mange
0          Socrates            pense
3          Plato               pense
4          Aristotle           mange
2          Pythagoras          mange
4          Aristotle           pense
2          Pythagoras          pense
3          Plato               mange
3          Plato               pense
2          Pythagoras          mange
4          Aristotle           mange
4          Aristotle           pense
2          Pythagoras          pense

